Video Title,Video ID,User,Comment,Published,SentimentScore,PositiveWords,NegativeWords,AgreeableWords,NeutralRaceWords,WhiteSlurWords,BlackSlurWords,HispanicSlurWords,GeneralSlurs
cosby show - one of the funniest moments,jJPudiBap4U,weavzy,Is the episode where he rapes people     ,2014-12-04,-0.125,0,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,thewickedpickett,Trying to be richard Pryor    ,2014-11-22,-0.625,0,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,Fan4ManUnited,rapist    ,2014-11-24,0.25,0,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,Simon Janssen,...Oh you wanna go backwards.....    ,2014-09-01,0,0,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,jack tors,Funny    ,2014-12-10,0,1,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,TikiTaka Studio,wow  awesome video  nice work  bro  I enjoyed your clip   ,2015-01-25,1.875,0,0,0,0,0,1,0,0
cosby show - one of the funniest moments,jJPudiBap4U,AnDrEa Gamer, WE LOVE THE COSBY SHOW  3    ,2014-08-18,0.5,1,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,Dio Sciaroni,                         ,2014-07-26,0,0,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,MOON studios,poor car   ,2014-08-15,0,0,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,Jason Smith,I have to be on roffies to find this funny    ,2014-12-10,-0.375,1,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,ssestakhch, ,2014-12-05,0,0,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,Alexander Korey, ,2014-08-05,0,0,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,AndreLink91,The ITA translation is perfect  but in english is much better  Also the  voice of Bill is really awesome    ,2014-04-08,-0.375,0,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,Carrie Krueger,look at this   ,2014-06-16,0,0,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,Hannah H, The Cosby Show      Cliff Huxatble  Bill Cosby  after going to look at a  car with Denise  Lisa Bonet   I laughed so hard    D   ,2014-04-01,-0.75,0,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,Marcus Normark,Rapist alert   ,2014-12-03,0.25,0,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,Diktator Alexander, It is just thinking about it  The best line ever.   ,2014-04-03,0.625,0,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,odraudelael,You can notice the rest of the cast laughing for real  that s how funny he  is.   ,2014-05-08,-0.5,1,0,0,0,0,0,0,0
